time, vs, hs, dist, alt, ang,weight,acc
290.0,20.671080629474805,490.05028995197404,-29805.8097928466,7045.963366397164,58.3,237.98162199999985,2.313708072802363
300.0,20.097410637315075,470.2924065755623,-34597.7777208003,6842.480823197602,58.3,236.04134199999982,2.3327269508576194
310.0,19.730684975020377,450.56382861176144,-39191.848693472966,6643.892899681139,58.3,234.12503799999985,2.287239351136807
320.0,19.86453158050506,431.3443594050804,-43591.33722475095,6446.2747931939875,58.3,232.27466799999982,2.22409100591202
330.0,20.424883301398374,412.52193350259967,-47801.218795772984,6244.719472246502,58.3,230.4722499999998,2.2168829436081805
340.0,21.099844685126083,393.59381266732555,-51822.45588489482,6036.831677750689,58.3,228.67182999999983,2.234337303374886
350.0,21.863672947024543,374.5161321394045,-55653.591129566594,5821.705478374112,58.3,226.8714099999998,2.2520686938914007
360.0,22.7163338992103,355.28650960439296,-59293.115876722615,5598.45238332358,58.3,225.07098999999982,2.270083763349512
370.0,23.657780891061993,335.90250536925055,-62739.497336072636,5366.184311752966,58.3,223.2705699999998,2.28838937438105
380.0,24.687954217345077,316.36162050478055,-65991.17799616036,5124.013720622807,58.3,221.47014999999982,2.306992612774229
390.0,25.712078687289395,296.5075644514374,-69046.16549707524,4871.306178160129,58.3,219.6510819999998,2.386330152473369
400.0,26.398860671321103,275.7949056040521,-71898.07467076775,4610.105610717837,58.3,217.7674119999998,2.4937615551035734
410.0,26.716435647797635,254.15807481717064,-74537.79304701931,4344.063555426513,58.3,215.8171419999998,2.603871012247955
420.0,26.659236747552267,231.5736203807345,-76955.95115458044,4076.9021229024756,58.3,213.8002719999998,2.7168347101073875
430.0,26.22097373083592,208.01654644944117,-79142.93659611272,3812.40303137695,58.3,211.7168019999998,2.832840824791982
440.0,25.394582441425072,183.4602066202669,-81088.87802971453,3554.4151141724033,58.3,209.5667319999998,2.952090697296366
450.0,24.243863522802865,157.99250975449857,-82783.89915889245,3306.6951673564167,58.3,207.36404799999977,3.019906324359567
460.0,23.121801808187644,132.17493605089686,-84222.05535356818,3070.490321624699,58.3,205.15736799999974,3.052388544972954
470.0,22.07491826175971,106.07831160955901,-85400.50598209894,2845.0917501174226,58.3,202.9506879999997,3.0855771230497187
480.0,21.10213503049271,79.69653818578094,-86316.42715990623,2629.7535465073884,58.3,200.74400799999967,3.119495352508859
490.0,20.202308479273764,53.023315422112695,-86966.93291559334,2423.7409419094524,58.3,198.53732799999963,3.154167562887727
500.0,19.480176575087885,26.224122948079387,-87349.5311270113,2226.0486572481964,58.3,196.34929599999964,3.1219363271870413
510.0,19.30685148034469,-0.09747620003351498,-87466.56095696543,2032.680940893826,58.3,194.22586599999963,3.058758404506232
520.0,28.43635035085656,0.0,-87466.36600456535,1802.3021254800942,34.3,193.57212824093352,0.5535273054257539
530.0,37.53196320705437,0.0,-87466.36600456535,1463.3943388182765,4.299999999999997,193.02939882335122,1.0178903643843467
540.0,41.05625766030076,0.0,-87466.36600456535,1063.9886319027105,0.0,192.12922823028705,1.5899587886303568
550.0,38.66326904554686,0.0,-87466.36600456535,661.616544323559,0.0,190.83325964591123,2.190432361945595
560.0,30.450560845298316,0.0,-87466.36600456535,315.61719162613946,0.0,189.16181159473769,2.733964906687643
569.0,18.85222347441972,0.0,-87466.36600456535,97.01997241475821,0.0,187.3831288197895,3.362095637787567
570.0,17.112127836632155,0.0,-87466.36600456535,79.90784457812606,0.0,187.1611288197895,3.366083566457881
571.0,15.368044270174273,0.0,-87466.36600456535,64.5398003079518,0.0,186.93912881978952,3.3700809668762495
572.0,13.619963303298023,0.0,-87466.36600456535,50.91983700465377,0.0,186.7171288197895,3.3740878728273827
573.0,11.86787543047064,0.0,-87466.36600456535,39.05196157418313,0.0,186.4951288197895,3.3781043182568586
574.0,10.111771112213782,0.0,-87466.36600456535,28.94019046196935,0.0,186.27312881978952,3.3821303372720783
575.0,8.351640774941703,0.0,-87466.36600456535,20.588549687027648,0.0,186.0511288197895,3.3861659641432365
576.0,6.587474810798467,0.0,-87466.36600456535,14.00107487622918,0.0,185.8291288197895,3.390211233304288
577.0,4.819263577494179,0.0,-87466.36600456535,9.181811298735003,0.0,185.6071288197895,3.394266179353932
578.0,3.046997398140247,0.0,-87466.36600456535,6.1348139005947555,0.0,185.4517288197895,2.377977292562942
579.0,2.2910201055773056,0.0,-87466.36600456535,3.84379379501745,0.0,185.2963288197895,2.379971599053621
580.0,1.5330485065236845,0.0,-87466.36600456535,2.3107452884937656,0.0,185.2075288197895,1.3606358316308018
581.0,1.7944126748928828,0.0,-87466.36600456535,0.5163326136008828,0.0,185.1187288197895,1.3612885179506526
